frame.number;ip.src;tcp.srcport;mqtt.clientid;mqtt.msgid;label
1;10.6.56.41;49182;;;0
2;10.6.56.1;1883;;;0
3;10.6.56.41;49182;;;0
4;10.6.56.41;49184;;;0
5;10.6.56.1;1883;;;0
6;10.6.56.41;49186;;;0
7;10.6.56.1;1883;;;0
8;10.6.56.41;49184;;;0
9;10.6.56.41;49186;;;0
10;10.6.56.41;49188;;;0
11;10.6.56.1;1883;;;0
12;10.6.56.41;49188;;;0
13;10.6.56.50;44534;;;0
14;10.6.56.1;1883;;;0
15;10.6.56.50;44534;;;0
16;10.6.56.50;44536;;;0
17;10.6.56.1;1883;;;0
18;10.6.56.50;44536;;;0
19;10.6.56.50;44538;;;0
20;10.6.56.1;1883;;;0
21;10.6.56.50;44538;;;0
22;10.6.56.50;44540;;;0
23;10.6.56.1;1883;;;0
24;10.6.56.50;44540;;;0
25;10.6.56.36;47638;;;0
26;10.6.56.1;1883;;;0
27;10.6.56.36;47638;;;0
28;10.6.56.36;47640;;;0
29;10.6.56.1;1883;;;0
30;10.6.56.36;47640;;;0
31;10.6.56.36;47642;;;0
32;10.6.56.1;1883;;;0
33;10.6.56.36;47642;;;0
34;10.6.56.36;47644;;;0
35;10.6.56.1;1883;;;0
36;10.6.56.36;47644;;;0
37;10.6.56.34;40864;;;0
38;10.6.56.1;1883;;;0
39;10.6.56.34;40864;;;0
40;10.6.56.34;40866;;;0
41;10.6.56.1;1883;;;0
42;10.6.56.34;40868;;;0
43;10.6.56.1;1883;;;0
44;10.6.56.34;40866;;;0
45;10.6.56.34;40868;;;0
46;10.6.56.34;40870;;;0
47;10.6.56.1;1883;;;0
48;10.6.56.34;40870;;;0
49;10.6.56.41;49182;;;0
50;10.6.56.1;1883;;;0
51;10.6.56.1;1883;;;0
52;10.6.56.1;1883;;;0
53;10.6.56.41;49182;;;0
54;10.6.56.41;49182;131;1;0
55;10.6.56.1;1883;;;0
56;10.6.56.41;49184;;;0
57;10.6.56.1;1883;;;0
58;10.6.56.41;49186;;;0
59;10.6.56.1;1883;;;0
60;10.6.56.1;1883;;;0
61;10.6.56.1;1883;;;0
62;10.6.56.41;49184;;;0
63;10.6.56.1;1883;;;0
64;10.6.56.1;1883;;;0
65;10.6.56.41;49186;;;0
66;10.6.56.41;49184;133;1;0
67;10.6.56.1;1883;;;0
68;10.6.56.41;49186;132;1;0
69;10.6.56.1;1883;;;0
70;10.6.56.41;49188;;;0
71;10.6.56.1;1883;;;0
72;10.6.56.1;1883;;;0
73;10.6.56.1;1883;;;0
74;10.6.56.41;49188;;;0
75;10.6.56.41;49188;134;1;0
76;10.6.56.1;1883;;;0
77;10.6.56.50;44534;;;0
78;10.6.56.1;1883;;;0
79;10.6.56.1;1883;;;0
80;10.6.56.1;1883;;;0
81;10.6.56.50;44534;;;0
82;10.6.56.50;44534;234;1;0
83;10.6.56.1;1883;;;0
84;10.6.56.50;44536;;;0
85;10.6.56.1;1883;;;0
86;10.6.56.1;1883;;;0
87;10.6.56.1;1883;;;0
88;10.6.56.50;44536;;;0
89;10.6.56.50;44536;233;1;0
90;10.6.56.1;1883;;;0
91;10.6.56.50;44538;;;0
92;10.6.56.1;1883;;;0
93;10.6.56.1;1883;;;0
94;10.6.56.1;1883;;;0
95;10.6.56.50;44538;;;0
96;10.6.56.50;44538;232;1;0
97;10.6.56.1;1883;;;0
98;10.6.56.50;44540;;;0
99;10.6.56.1;1883;;;0
100;10.6.56.1;1883;;;0
101;10.6.56.1;1883;;;0
102;10.6.56.50;44540;;;0
103;10.6.56.50;44540;231;1;0
104;10.6.56.1;1883;;;0
105;10.6.56.36;47638;;;0
106;10.6.56.1;1883;;;0
107;10.6.56.1;1883;;;0
108;10.6.56.1;1883;;;0
109;10.6.56.36;47638;;;0
110;10.6.56.36;47640;;;0
111;10.6.56.1;1883;;;0
112;10.6.56.1;1883;;;0
113;10.6.56.1;1883;;;0
